Story Number,Output,intent ,Comments
,جی میں جوہر ٹاؤن سے بات کر رہا ہوں اور چکن کڑاہی کا آرڈر کرنا ہے,LC,
,پرائس رینج تقریباً ہزار سے ڈیڑھ ہزار تک ہو جائے,P,
train397,train397_S8_Sp023_M_L1_G2_A2,LP_C,
, جی ڈی ایچ اے فیز ٹو کیو بلاک سے بات کر رہا ہوں اور مجھے چار سو سے پانچ سو کی رینج میں کچھ کھانے کے لیے چاہیے,LP,
,میں کچھ فاسٹ فوڈ کھانا پسند کروں گا,C,
train398,train398_S8_Sp023_M_L1_G2_A2,LP_C,
,جی میں ماڈل ٹاؤن سے بات کر رہا ہوں اور تقریباً آٹھ سو سے نو سو کی رینج میں مجھے کچھ کھانے کے لیے چاہیے,LP,
,میں کوئی ایسی دیسی ڈش جسے چکن کڑاہی وغیرہ کھانا آرڈر کروں گا,C,
train399,train399_S9_Sp023_M_L1_G2_A2,CP_L,
,جی میں چکن شوارما آرڈر کرنا چاہ رہا ہوں ون ہنڈرڈ ٹو ٹو ہنڈرڈ پرائس رینج میں,CP,
,میں فیصل ٹاؤن میں آرڈر کرنا چاہ رہا ہوں,L,
train400,train400_S9_Sp023_M_L1_G2_A2,CP_L,
,جی میں ملائی بوٹی آرڈر کرنا چاہ رہا ہوں آٹھ سو سے ہزار روپے کی رینج میں,CP,
,جی میں ٹھوکر نیاز بیگ میں آرڈر کرنا چاہ رہا ہوں,L,
train401,train401_S10_Sp023_M_L1_G2_A2,C_LP,
,جی ڈنر ٹائم ہے اور مجھے کچھ فاسٹ فوڈ چاہیے,C,
,جی مجھے دھرم پورہ میں آرڈر کرنا ہے اور پرائس رینج تقریباً  پںدرہ سو  سے دو ہزار  تک ہو جائے,LP,
train402,train402_S10_Sp023_M_L1_G2_A2,C_LP,
,جی اس ٹائم چکن منچورین کھانے کا دل کر رہا ہے,C,
,جی یہ غازی روڈ پر آرڈر کرنا ہے اور پرائس رینج پانچ سو سے ہزار روپے تک ہو جائے,LP,
train403,train403_S9_Sp023_M_L1_G2_A2,CP_L,
,جی میں نشاط کالونی میں کچھ کھانے کے لیے آرڈر کرنا چاہ رہا ہوں,L,
,ابھی زنگر برگر کھانے کو دل کر رہا ہے اور پرائس رینج دو سو سے تین سو روپے تک ہو جائے,CP,
train404,train404_S11_Sp023_M_L1_G2_A2,L_CP,
, خدا بخش کالونی میں مجھے کچھ کھانے کے لیے چاہیے,L,
,جی مجھے فرائیڈ فش مل جائے اور پرائس رینج جو ہے وہ آٹھ سو  سے بارہ سو تک ہو جائے,CP,
train405,train405_S12_Sp023_M_L1_G2_A2,P_CL,
,جی مجھے کھانے کے لیے کچھ چاہیے پانچ سو سے آٹھ سو روپے کی رینج میں,P,
,مجھے دال ماش وغیرہ مل جائے اور لوکیشن جو ہے وہ میری نادر آباد میں ہے,CL,
train406,train406_S12_Sp023_M_L1_G2_A2,P_CL,
,جی مجھے دو ہزار سے ڈھائی ہزار تک کچھ کھانے کے لیے چاہیے,P,
,جی مجھے چرغہ وغیرہ مل جائے اور لوکیشن جو ہے وہ میری علی پارک میں ہے,CL,
train407,train407_S13_Sp023_M_L1_G2_A2,,
,"اچھا ابھی صبح کا ٹائم ہے ناشتے کے لیے مجھے علی پارک میں نادرآباد کے قریب نان چنے اور حلوہ پوری ، وغیرہ چاہیے پرائس رینج جو ہے وہ آٹھ سو سے  نو سو  روپے تک کی ہو جائے",LCP,
train408,train408_S13_Sp023_M_L1_G2_A2,,
,جی ماڈل ٹاؤن میں مجھے ابھی بلیک پیپر کھانے کے لیے چاہیے چکن بلیک پیپر پرائس رینج اسکی ہو جائے کوئی آٹھ سو سے بارہ سو روپے تک,LCP,
